"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.00673 14165 0 0.9948 1.0000 0.9816 0.9981 0.9981 1.0000 0.9931 0.9816 0.9816 0.9816 0.9816
0.00680 14164 0 0.9948 1.0000 0.9814 0.9981 0.9981 1.0000 0.9930 0.9814 0.9814 0.9814 0.9814
0.00687 14163 0 0.9947 1.0000 0.9812 0.9981 0.9981 1.0000 0.9930 0.9812 0.9812 0.9812 0.9812
0.00694 14162 0 0.9947 1.0000 0.9811 0.9981 0.9981 1.0000 0.9929 0.9811 0.9811 0.9811 0.9811
0.00701 14161 0 0.9946 1.0000 0.9809 0.9980 0.9980 1.0000 0.9928 0.9809 0.9809 0.9809 0.9809
0.00708 14160 0 0.9945 1.0000 0.9807 0.9980 0.9980 1.0000 0.9927 0.9807 0.9807 0.9807 0.9807
0.00715 14159 0 0.9945 1.0000 0.9805 0.9980 0.9980 1.0000 0.9927 0.9805 0.9805 0.9805 0.9805
0.00722 14158 0 0.9944 1.0000 0.9803 0.9980 0.9980 1.0000 0.9926 0.9803 0.9803 0.9803 0.9803
0.00729 14157 0 0.9944 1.0000 0.9801 0.9980 0.9980 1.0000 0.9925 0.9801 0.9801 0.9801 0.9801
0.00736 14156 0 0.9943 1.0000 0.9799 0.9979 0.9979 1.0000 0.9924 0.9799 0.9799 0.9799 0.9799
0.00743 14155 0 0.9943 1.0000 0.9798 0.9979 0.9979 1.0000 0.9924 0.9798 0.9798 0.9798 0.9798
0.00750 14154 0 0.9942 1.0000 0.9796 0.9979 0.9979 1.0000 0.9923 0.9796 0.9796 0.9796 0.9796
0.00757 14153 0 0.9942 1.0000 0.9794 0.9979 0.9979 1.0000 0.9922 0.9794 0.9794 0.9794 0.9794
0.00764 14152 0 0.9941 1.0000 0.9792 0.9979 0.9979 1.0000 0.9922 0.9792 0.9792 0.9792 0.9792
0.00771 14151 0 0.9941 1.0000 0.9790 0.9978 0.9978 1.0000 0.9921 0.9790 0.9790 0.9790 0.9790
0.00778 14150 0 0.9940 1.0000 0.9788 0.9978 0.9978 1.0000 0.9920 0.9788 0.9788 0.9788 0.9788
0.00785 14149 0 0.9940 1.0000 0.9786 0.9978 0.9978 1.0000 0.9919 0.9786 0.9786 0.9786 0.9786
0.00792 14148 0 0.9939 1.0000 0.9785 0.9978 0.9978 1.0000 0.9919 0.9785 0.9785 0.9785 0.9785
0.00799 14147 0 0.9939 1.0000 0.9783 0.9978 0.9978 1.0000 0.9918 0.9783 0.9783 0.9783 0.9783
0.00806 14146 0 0.9938 1.0000 0.9781 0.9977 0.9977 1.0000 0.9917 0.9781 0.9781 0.9781 0.9781
0.00813 14145 0 0.9938 1.0000 0.9779 0.9977 0.9977 1.0000 0.9916 0.9779 0.9779 0.9779 0.9779
0.00820 14144 0 0.9937 1.0000 0.9777 0.9977 0.9977 1.0000 0.9916 0.9777 0.9777 0.9777 0.9777
0.00827 14143 0 0.9936 1.0000 0.9775 0.9977 0.9977 1.0000 0.9915 0.9775 0.9775 0.9775 0.9775
0.00834 14142 0 0.9936 1.0000 0.9773 0.9977 0.9977 1.0000 0.9914 0.9773 0.9773 0.9773 0.9773
0.00841 14141 0 0.9935 1.0000 0.9772 0.9976 0.9976 1.0000 0.9913 0.9772 0.9772 0.9772 0.9772
0.00848 14140 0 0.9935 1.0000 0.9770 0.9976 0.9976 1.0000 0.9913 0.9770 0.9770 0.9770 0.9770
0.00855 14139 0 0.9934 1.0000 0.9768 0.9976 0.9976 1.0000 0.9912 0.9768 0.9768 0.9768 0.9768
0.00862 14138 0 0.9934 1.0000 0.9766 0.9976 0.9976 1.0000 0.9911 0.9766 0.9766 0.9766 0.9766
0.00870 14137 0 0.9933 1.0000 0.9764 0.9975 0.9975 1.0000 0.9910 0.9764 0.9764 0.9764 0.9764
0.00877 14136 0 0.9933 1.0000 0.9762 0.9975 0.9975 1.0000 0.9910 0.9762 0.9762 0.9762 0.9762
0.00884 14135 0 0.9932 1.0000 0.9760 0.9975 0.9975 1.0000 0.9909 0.9760 0.9760 0.9760 0.9760
0.00891 14134 0 0.9932 1.0000 0.9759 0.9975 0.9975 1.0000 0.9908 0.9759 0.9759 0.9759 0.9759
0.00898 14133 0 0.9931 1.0000 0.9757 0.9975 0.9975 1.0000 0.9907 0.9757 0.9757 0.9757 0.9757
0.00905 14132 0 0.9931 1.0000 0.9755 0.9974 0.9974 1.0000 0.9907 0.9755 0.9755 0.9755 0.9755
0.00912 14131 0 0.9930 1.0000 0.9753 0.9974 0.9974 1.0000 0.9906 0.9753 0.9753 0.9753 0.9753
0.00919 14130 0 0.9929 1.0000 0.9751 0.9974 0.9974 1.0000 0.9905 0.9751 0.9751 0.9751 0.9751
0.00926 14129 0 0.9929 1.0000 0.9749 0.9974 0.9974 1.0000 0.9904 0.9749 0.9749 0.9749 0.9749
0.00933 14128 0 0.9928 1.0000 0.9747 0.9974 0.9974 1.0000 0.9904 0.9747 0.9747 0.9747 0.9747
0.00940 14127 0 0.9928 1.0000 0.9746 0.9973 0.9973 1.0000 0.9903 0.9746 0.9746 0.9746 0.9746
0.00947 14126 0 0.9927 1.0000 0.9744 0.9973 0.9973 1.0000 0.9902 0.9744 0.9744 0.9744 0.9744
0.00954 14125 0 0.9927 1.0000 0.9742 0.9973 0.9973 1.0000 0.9901 0.9742 0.9742 0.9742 0.9742
0.00961 14124 0 0.9926 1.0000 0.9740 0.9973 0.9973 1.0000 0.9901 0.9740 0.9740 0.9740 0.9740
0.00968 14123 0 0.9926 1.0000 0.9738 0.9973 0.9973 1.0000 0.9900 0.9738 0.9738 0.9738 0.9738
0.00975 14122 0 0.9925 1.0000 0.9736 0.9972 0.9972 1.0000 0.9899 0.9736 0.9736 0.9736 0.9736
0.00982 14121 0 0.9925 1.0000 0.9735 0.9972 0.9972 1.0000 0.9898 0.9735 0.9735 0.9735 0.9735
0.00989 14120 0 0.9924 1.0000 0.9733 0.9972 0.9972 1.0000 0.9898 0.9733 0.9733 0.9733 0.9733
0.00996 14119 0 0.9924 1.0000 0.9731 0.9972 0.9972 1.0000 0.9897 0.9731 0.9731 0.9731 0.9731
0.01003 14118 0 0.9923 1.0000 0.9729 0.9972 0.9972 1.0000 0.9896 0.9729 0.9729 0.9729 0.9729
