"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01683 30327 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01692 30324 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01702 30321 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01712 30318 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01721 30315 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01731 30312 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01741 30309 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01751 30306 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01760 30303 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01770 30300 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01780 30297 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01790 30294 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01799 30291 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01809 30288 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01819 30285 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01828 30282 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01838 30279 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01848 30276 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01858 30273 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01867 30270 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01877 30267 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01887 30264 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01897 30261 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01906 30258 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
